id_del_portafolio,referencia_del_proceso,entidad,departamento_entidad,ciudad_entidad,modalidad_de_contratacion,tipo_de_contrato,estado_del_procedimiento,precio_base,valor_total_adjudicacion,proveedores_unicos_con,duracion,unidad_de_duracion,fecha_de_publicacion_del,sobrecosto_pesos,ratio_sobrecosto,tiene_sobrecosto,duracion_dias_prevista
CO1.BDOS.8120078,LP-005-2025 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPAL DE CHIA,Cundinamarca,Chía,Licitación pública Obra Publica,Obra,Seleccionado,1451479430.0,1371650633.0,10,150,día(s),2025-06-03,-79828797.0,-0.05499822825598018,0,150.0
CO1.BDOS.8055171,PN ESSUM SA MC 033 2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ESCUELA DE POLICIA DE PROVINCIA DE SUMAPAZ INTENDENTE MARITZA BONILLA RUIZ,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,716776000.0,125000000.0,2,150,día(s),2025-05-30,-591776000.0,-0.8256080002678661,0,150.0
CO1.BDOS.8131906,SAMC-005-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE CHIA,Cundinamarca,Chía,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,249987567.0,232976014.0,4,3,Mes(es),2025-05-30,-17011553.0,-0.06804959624252033,0,90.0
CO1.BDOS.8116170,SAMC-004-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE COGUA,Cundinamarca,Cogua,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,120000000.0,114026236.0,9,3,Mes(es),2025-05-29,-5973764.0,-0.04978136666666667,0,90.0
CO1.BDOS.8193422,MC-IP-016-2025,MUNICIPIO MANTA CUNDINAMARCA,Cundinamarca,Manta,Mínima cuantía,Obra,Seleccionado,4495909.0,3299245.0,7,15,día(s),2025-05-29,-1196664.0,-0.26616730899135194,0,15.0
CO1.BDOS.7985181,SAMC-002-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE SUESCA +,Cundinamarca,Suesca,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000.0,99999959.0,2,3,Mes(es),2025-05-29,-41.0,-4.1e-07,0,90.0
CO1.BDOS.8116062,LP-005-2025 (Presentación de oferta),INSTITUTO MUNICIPAL DE RECREACION Y DEPORTE DE COTA CUNDINAMARCA,Cundinamarca,Cota,Licitación pública,Obra,Seleccionado,623000000.0,621988066.0,1,3,Mes(es),2025-05-28,-1011934.0,-0.0016242921348314607,0,90.0
CO1.BDOS.8103996,SAMC-002-2025  (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE LENGUAZAQUE,Cundinamarca,Lenguazaque,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,166973000.0,158168888.0,3,2,Mes(es),2025-05-28,-8804112.0,-0.052727758380097384,0,60.0
CO1.BDOS.7974165,SAMC-005-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE SOACHA..,Cundinamarca,Soacha,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000.0,99949138.0,2,3,Mes(es),2025-05-28,-50862.0,-0.00050862,0,90.0
CO1.BDOS.8077785,SAMC-011-2025   (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,369902239.0,369902239.0,1,2,Mes(es),2025-05-27,0.0,0.0,0,60.0
